Antenas;Cloud_traffic;Fog_traffic;Fog_Nodes;Traffic_Total;Lambdas;Blocked;Split_E;Split_I;Split_D;Split_B;Split_E_percent;Split_I_percent;Split_D_percent;Split_B_percent;CPU_Wastage
5;9830.0;0.0;0;9830;1;0;5;0;0;0;100.0;0.0;0.0;0.0;37.7
10;19660.0;0.0;0;19660;2;0;10;0;0;0;100.0;0.0;0.0;0.0;30.1
15;29490.0;0.0;0;29490;3;0;15;0;0;0;100.0;0.0;0.0;0.0;35.5
20;39320.0;0.0;0;39320;4;0;20;0;0;0;100.0;0.0;0.0;0.0;33.5
25;49150.0;0.0;0;49150;5;0;25;0;0;0;100.0;0.0;0.0;0.0;34.2
30;58980.0;0.0;0;58980;6;0;30;0;0;0;100.0;0.0;0.0;0.0;33.3
35;66918.0;1892.0;1;68810;7;0;34;0;0;1;97.14285714285714;0.0;0.0;2.857142857142857;34.4
40;68986.19999999998;5721.799999999999;1;78640;8;3932;34;3;1;0;85.0;7.5;2.5;0.0;32.6
45;69372.19999999998;13199.800000000001;1;88470;9;5898;34;3;3;2;75.55555555555556;6.666666666666667;6.666666666666667;4.444444444444445;33.7
50;73554.39999999997;20813.6;2;98300;10;3932;35;6;4;3;70.0;12.0;8.0;6.0;33.0
